Given	Predicted	Cosine Similarity
some people are indeed opportunists, but not all jewish are. why do you say so?	jews are not greedy. they are just trying to make a living, and that is what makes them different from other people.	0.8651480372738817
why should we? they have been here a long time and are just here to live a peaceful life. why should we get rid of them? we can do better than this.	jews are not a threat to our country. they are just different from other people in many ways.	0.8465351061736881
this can be a dangerous thing to do: identifying a whole group of people as criminals, who have not done anything wrong, just because of their religion.	the news is full of stories about murderers, and it is good to report them. but i would like to see more reporting on people who are not murdering anyone.	0.9270539311721526
jews should not be persecuted for being jews, as no one should be persecuted for their religion.	jews are human being, and they have the same rights as any other people.	0.8914087828927002
you call a human being by their sexual orientation? that is discrimination, pure and simple.	gay men are not 'fags'. they are people, just like any other human being.	0.7856592874853418
what about all the gay men and lesbians in the us who live an happy, healthy and prosperous life? are they sick as well?	homosexuality is not a disease. it is merely an expression of love and respect for others, regardless who they are.	0.8585669537783552
gay people are people too. just like anyone else. being gay isn't a problem for you, is it?	gays are not a burden to our society. they are just different from other people in that they have their own identity and culture.	0.8079264683473727
you are wrong: it is not true that 'all homosexuals are perverts'. it is simply a person's personal experience to love who they love.	i don't think it is true that all gays are pervert. they just have different sexual orientations and therefore may be more susceptible to depravity than others.	0.9118755488972293
there are many homosexuals in this world who are model citizens, and many heterosexuals that are not, and that is totally fine. why are you saying that?	i don't see how you can say that about people who are gay. they are just trying to live their lives as they wish, and this is not the way it should be done	0.881629461695796
your statement is not welcome in our country.	i don't see how being gay is not welcome.	0.6178767397084328
i don't think it's a question of strength or weakness, i think it's about living in a society where you can love who you want. maybe you should just accept that other people live their life as they want.	gay men are not weak. they are just like any other human beings.	0.8406505306164959
it's not necessary to be heterosexual, but it's important that we respect everyone's personal rights to love who they want.	i don't think it is fair to discriminate against people of different sexual orientations.	0.8897833727946878
lgbt+ people are just as welcome in heterosexual communities as in other communities. maybe we should take away discrimination instead.	homophobia is a problem in the world today, and it can be solved by addressing the root causes.	0.8213481331566654
nonbinary people can partially identify as either male or female, or as neither male nor female. therefore, it seems the terminology is fitting, and that they exist: why don't you accept that?	nonbinary people are just like any other human being. they have the same rights as anyone else, and should be respected for who they really want to be.	0.9080278632654429
this is not true, what proof do you have of this?	i don't think it is true that aids has been brought to the us by gay men.	0.844463170267049
the fact is that there are individuals in the lgbt+ community who are fearful to expose their identity is the issue. i don't understand how someone being in the closet is a problem to you.what are you doing to make them feel safe enough to be who they are?	gays in the closet are not a problem. they are just living their lives as anyone else would.	0.9189886598664609
for some reason, this seems like a personal attack on lesbians, which is extremely disingenuous. maybe you should try to get a little more friendly with them.	lesbians are not discriminated against. they are just living their lives as anyone else.	0.8296577545978084
well, not in particular: many people are suffering from homophobia. i think it would be a shame to keep on hating.	lesbians are not discriminated against. they are just living their lives as anyone else.	0.8889214357246803
do you really think that 'they'd better give in' when it comes to their own preferences? we aren't all gay, or lesbian, bisexual, transgender or intersex, but some people are. that's all.	i don't see how discrimination can be justified. it is about time we stop treating people as they are, and start treating them like human beings.	0.9217310126379059
being gay is not a choice. what makes you think it is?	i don't see how discrimination can be justified. it is about time we stop treating people as they are, and start treating them like human beings.	0.8172589848037599
i don't think the word 'pervert' is useful is describing non-heterosexuals.	gays are not perverting anyone. they are just being themselves.	0.695734853074
it's true that there are bad gay people, but being gay doesn't make them bad people by default, or people to hate.	i don't think it is possible to be a good person by being gay.	0.8769238478007836
who have you been spying on? not all homosexuals have multiple partners. some find it fulfilling to have only one sexual partner. and that is valid for heterosexuals, too.	homosexuality is not a sexual preference. it is merely an expression of love and affection for someone who has been in relationships with them for some time.	0.881077845408226
if a person is gay, they are likely to experience some kind of discrimination in their life. understanding the problem from the perspective of the people affected by it can help to create a better society.	homosexuals are not a problem in our country. they are just different from other people and have their own culture.	0.9248762289858697
gays are not perverts, they have the same rights to love as anyone else. what do you think will happen if all gay people are asked to leave our country? will they be denied entry, or will they be persecuted in your opinion? this is not how an inclusive society works.	homosexuality is not a perversion. it's just another way of life.	0.7987546177448747
don't you think they are doing just as good as anyone else? you can't be so harsh because of their sexual orientation. how about some respect?	gays are not a burden to society. they are just different from other people in that they have their own identity and culture.	0.8095230091561814
lgbt+ people are often harassed, bullied and even murdered. the police cannot protect everyone from bigotry and violence, so it is very harmful to speak of gay people as if they were all affected by harmful tendencies.	gay men are not perverts. they are just like any other human being, and have the same rights as anyone else.	0.9486483398053486
lgbt+ people are often discriminated against, but they don't deserve to be hated for being lgbt+. why don't you just find their sexual orientation to be different from your own experience without judging it?	gay men are not disgusting. they are just like any other human beings, and we should respect their rights as such.	0.8902831196926719
it is a myth that being gay is incompatible with being a citizen of any country. there is nothing wrong with it, if they fulfill the legal criteria for being citizens.	homosexuality is not an abomination, it is just another form of love.	0.9135296538951512
this is not true. i find it very offensive that someone can pinpoint homosexuality as something perverted in itself.	homosexuality is not a lifestyle. it's merely an expression of love and acceptance.	0.8513554090185712
i don't think it is a good idea to suggest that homosexuality is a choice. what if your child were to come out as gay? this is a very serious issue.	homosexuality is not a disease, it's just an expression of love.	0.8401276771006194
homosexuality is not a disease and every person in our society should be accepted equally, regardless of their sexual orientation.	homosexuality is not a disease, it is merely an expression of love.	0.8707860798005183
we shouldn't isolate gays. there are plenty of people who need to learn respecting other sexual identites and it can only be possible if lgbt+ people are accepted as they are in our communities.	gays are not a problem in our society. they are just different from us in many ways.	0.9239282186778993
people should be proud of their sexual orientation, and this is a sign that there is space for trust and acceptance within society	i don't think it is appropriate to stop people from being themselves.	0.7143552416631297
homosexuality is a sexual orientation, predjudice is sickness which afflicts society.	homosexuality is not a disease. it is merely an expression of love and acceptance.	0.9324603142534166
the idea that being lgbt is a problem is a dangerous idea, especially since a large number of people in society are lgbt. therefore, i believe that if there is a problem in schools it's better addressing it, rather than banning lgbt people.	i don't see why banning people from schools would be beneficial.	0.6908807080276184
well, perhaps you should focus on how you can help the people with this disease, instead of random claiming that an entire minority suffers from it.	aids is a condition that can be caused by many different factors, including sexual orientation.	0.8475426898594856
well, being a hypocrite is not a question of being gay or not. however, the important thing is respecting other people's sexual orientation and not violating their rights.	i don't think it is hypocritical to be gay, but you are just spreading hate.	0.7357708426580468
since when has the bible said that it is okay to kill gays? are you saying you are ok with gays being executed? all people have right to life, regardless of their sexuality.	i don't think the bible says that all homosexuals should be killed. it is just an excuse to kill people of different sexual orientations.	0.9363460283409667
have you checked the records of all the gay offenders? or do you think that those stats are completely inaccurate? maybe you should check those before making such claims.	i don't think it is fair to say that all gays are criminal. they are just people who have been born in this country and have the right to live here.	0.9038323205593514
they are to be welcomed into any country they want to live and love, and they have the right to do that.	i don't see how being gay is a problem. it is just that there are different ways of life and people have different experiences with each other, so why should we be discrimin	0.8719632643591804
gay men are not promiscuous. to suggest otherwise is to be grossly generalistic. how many gay men do you know?	promiscuity is a state of being, and it can be very harmful to someone's life.	0.8079239023762225
many immigrants actually have adhered to the legal requirements and have been in the us for several years working hard.	the vast majority of immigrants are legal and contribute to our economy. they are not illegal or freeloaders, but rather contributing members in society.	0.9239790365606383
this is not true. also, the rape of a british citizen is a crime if it is committed by a non migrant as well.	rape is always wrong, and it can happen to anyone.	0.773924433729773
many immigrants started their own companies: this is not 'stealing our jobs'.	the problem is not with immigrants, but rather with our society.	0.7877842697152546
many immigrants work hard for the success of our country. we should not blame them.	foreigners are not a burden to our country. they are part of it.	0.9334036467202445
the fact that immigrants come from another country doesn't mean that they have nothing to contribute to ours. you may want to check the statistics on their economic contribution.	immigrants are not a burden on our society. they are part of it.	0.8655069040477219
the question is whether their value for our society can outweigh our fear of them.	immigrants are not a burden on our society. they are part of it.	0.9089856031371973
the contribution of immigrants to our country is huge, because they help to create new jobs and create new wealth for us.	immigrants are not a burden on our society. they are part of it.	0.867847948526974
did you know that many workers who are employed by construction, restaurant staff, and many other jobs are immigrants? do you know why? because we don't want to do those jobs anymore, that's why!	if they were to steal our jobs, we would be in a much worse situation.	0.854112404857146
migrants don't 'steal our jobs', and they also pay taxes to support their health, housing, and education, just like the rest of us	migrants pay taxes and contribute to our economy. they are part of our society, we should not be afraid of them.	0.9167216501833791
the western world has seen a high rate of immigration in recent years. many of those refugees are fleeing conflict and poverty. to treat them with hate is of no help to them and to us.	i don't think it is fair to judge people on their nationality.	0.6954334484221657
there are many cultures, many languages, many religions, that are not mutually exclusive. to imply that they are somehow not acceptable is a misuse of the truth.	migrants are welcome here, they have the right to live and work in our country.	0.8958510229859137
all countries in the world have different cultures and different beliefs. we should try to understand the true situation of those people and accept them.	the problem is not with immigrants, but rather with people from underdeveloped countries.	0.8766301578337549
i don't see how coming from another country makes them any less human.	immigrants are not monkeys, they are human being.	0.7067966693796389
how big is the immigration problem? do you measure it in square kilometers? i am not sure, maybe you should show me your reference for this claim.	immigration is a problem in many countries, but it's not the biggest one.	0.7556092944059983
what you say is terrible. such an irrational slaughter would be a crime against humanity.	migrants are not a threat to our country. they are contributing members of society and have the right to live in this country.	0.7982199627304891
are you suggesting that everyone should be subjected to discrimination because of their origin? then you are certainly not representative of most people in the uk.	immigrants are not despised for their culture. they just want to live in a country where there is acceptance and respect.	0.9400992167750871
i think this statement may have more to do with what country a person is from than with who they are. would you say the same to a migrant coming from finland?	immigrants are not bad people. they are just trying to live their lives as if they were part of our own country.	0.8961285715556965
there is no evidence that migrants steal our jobs. maybe they simply don't do the jobs you'd expect them to do?	if they were to steal our jobs, we would be in a much worse situation.	0.8460667546638473
i would like to see more comprehensive and reliable statistics on this issue. could you provide any?	if they were to steal our jobs, we would be in a much worse situation.	0.8638661791267813
could you provide a link to some evidence for what you're saying?	if we were to be honest, the majority of jobs that are not taken by immigrants are created by us.	0.7430814639062293
do you have any facts to back up your claim that they steal our jobs and our pensions?	if we were to be honest, the majority of jobs that are not taken by immigrants are created by us.	0.7462551984789555
immigrants come here to work and pay taxes. they want to contribute and integrate, so there is no need consider them a burden?	migrants are welcome here, they have the right to be there.	0.900321921865335
that's not true: they can be entitled to stay in the uk, regardless of their nationality.	migrants are welcome here, they have the right to live and work in our country.	0.90861896793137
the problem is gender-based violence, not migrants. rape is a crime regardless of immigration status.	rape is always wrong, regardless of the origin.	0.9302002349270563
the problem is the unequal distribution of opportunity. the more migrants are educated and integrated, the better their chances are of getting a job.	migrants are often very hard-working and contribute to the economy.	0.8909878028659498
it is not true that all migrants are rapists. it is better to target the problem at hand, that is rape itself, not migrants.	rape is always wrong, regardless of the origin.	0.8355788518888593
being employed as a foreigner is a normal, mainstream, established practice in britain, so why shouldn't it be the same all around the world?	i don't think it is normal to have people working in other countries, especially when the work is not related to their nationality.	0.9010783545146497
the rights of migrants cannot be limited, especially when it comes to creating a safe environment for our fellow human beings.	migrants are welcome here, they have the right to live and work in our country.	0.9108446259530661
this is not supported by any evidence. whether or not you feel that way about migrants, they should be treated just like you would treat any other person.	migrants are not criminals and i don't see how they can be.	0.8745099054082521
does this mean that if you really wanted to keep all of our citizens safe, you would deport all migrants? this is impossible, and against human rights.	migrants are not a burden to our country. they are people who have contributed so much to our society.	0.9105589757621063
a person's background is their own, and you do not have to be of that background to respect them.	immigrants are not inferior to whites. they are just different from us in their culture and religion.	0.8976081729579405
does it seem like a good idea to deport all immigrants, when there are so many of them peacefully living in the country? what about their human rights?	immigrants are not 'deported' for their nationality. they have the right to live and work in our country, regardless of their origin.	0.8792621988585578
this is not true, if they deserve it, they can be hired as anyone else. they do have the right to be here, and to work in the free market.	the majority of jobs that are done by immigrants are good ones.	0.7652522017736805
let's not be hypocritical here, we are talking about people who would often be deprived of their liberty and the right to a decent standard of living, if they stayed in their countries.	immigrants are not a threat to the country they live in.	0.9307242781218968
all immigrants have the same rights and we have a responsibility not to violate them.	i don't see how being non-european can be untrustworthy.	0.7381432291942325
many european countries offer generous benefits to attract foreign workers, and this is a source of pride and prosperity for many of them.	migrants are not a burden to the host country. they are people who have contributed so much to our society.	0.8694915717135014
in many cases it is the opportunities offered by european states that attracts foreign workers to work for them. they are a great contribution to the host country, rather than the other way around.	migrants are not a burden to the host country. they are people who have contributed so much to our society.	0.9278007733435829
to accept migrant workers is about creating a more integrated and equal society. so don't you think that it is something that positively contributes to society itself?	i don't think it is fair to say that migrants are a burden. they are our brothers and sisters, we should not be afraid of them.	0.9350265871766071
migrants who come to this country as children are capable of integrating into the society. they should have the opportunity to work and contribute to our economy.	i don't see how accepting children from other cultures would be beneficial to our society.	0.8414849943128555
many migrants coming to this country are aware of the benefits of integrating, as well as of the benefits of accepting responsibility for our society. and when they become part of our society, they are grateful for this chance to be part of it.	i don't think it is fair to say that migrants are a burden. they are our brothers and sisters, we should not be afraid of them.	0.7958977762127402
why are you so sure of something so vague? how can you say that muslims have nothing to contribute to our society? do you have any proof of this?	muslims have contributed much to our society. they are our brothers and sisters.	0.8178276497220102
perhaps we could talk about why muslims are often asked to leave countries like the uk and what role they play in society.	muslims have contributed so much to our society that they should be allowed in.	0.9183889575883651
you want people to integrate / assimilate? have you tried making people feel welcome, as a first step to settling in? just a thought.	muslims are not the problem. they are people who have lived in this country for many years and have contributed so much to our society.	0.8407974320335961
"they are not ""ruining our countries"" as you claim. they are just individuals choosing to live wherever they think they can have a better life."	muslims are not ruining our countries. they are just trying to live their lives as normal people, and we should respect them for that.	0.9590079726542212
"the west is full of muslims and they are all our brothers and sisters. we cannot be ""coping with the truth"" that they are a cancer to britain, as this claim implies, because this is not true."	muslims are not a cancer in our society. they are just different from us in many ways.	0.8930173135297125
"let me be absolutely clear, you are not in the ""position"" of tolerating hate; you are in the position of condemning hatred, no matter who is the target."	i think it is important to remember that the constitution does not allow for discrimination.	0.8287710601511507
muslims are part of the european union, and have lived here ever since. their presence is evidence enough that they have always been a part of 'civilised' europe.	muslims are part of our society, and they have been here for centuries. why should we discriminate against them?	0.8953494530012867
does that mean that every muslim in the world is an immoral person? i don't think so. why would this be true?	muslims are not immoral. they are just people who believe in the teaching of god and have a belief system that is compatible with their beliefs.	0.7918432381480347
"i don't know about you, but i never heard of any evidence of all muslims being ""child molesters""."	muslims are not child abuser. they are just people who have been mistreated by the state and society in general.	0.7255229373483965
islam is just a religion, its supporters are free to practice their religion, as others do not impose their religion on them.	islam is not hostile to other religions. it is just one of many religious traditions that have been used to create peace and harmony in our world.	0.9384990000192234
who decides what is and is not 'inferior'? do you have any scientific proof?	muslims are not inferior to white people. they are just different from us in their beliefs and practices, and that is what makes them unique.	0.7452629865631887
what do you mean by 'a problem'? who said anything like that? how can you be sure?	muslims are human being, and they have the same rights as any other person.	0.6430365319007442
there is no need to separate people into 'morally good' and 'morally bad'. it is impossible to define someone as good or bad because muslim or christian, all religions are essentially personal beliefs.	muslims are not morally bad people. they are just different from other people in that they have different beliefs and practices.	0.8661428210975176
human rights are about respect for other people's beliefs, not hate against them.	muslims are not the problem. they are just different from us in that they have different beliefs and practices.	0.9035111149943352
why wouldn't muslims be welcome in our country? we are all in this together.	muslims are welcome in our country, and they have the right to be here.	0.9142106735507299
all religions have value and should be accepted. what's the point of banning one faith?	muslims are not like us, they are just different from us in many ways.	0.8122568028106206
islam is a religion. it is a belief and a way of life. it is not a totalitarian ideology.	islam is not a totalitarian ideology. it is about love, peace and tolerance.	0.9427764743143683
what you are saying is that muslims are not welcome in our country? why shouldn't they be?	muslims are welcome here, they have the same rights as any other person.	0.8121583774799259
muslims have been part of europe for a long time, they have contributed to our culture and identity, and they are very proud of it. they should be treated as any other person would be.	muslims are part of our society, and they have been here for centuries. why should we discriminate against them?	0.9349575711830235
there is no proof that islam as a religion is violent. instead, those who know it agrees that it is a peaceful religion.	islam is not violent. it is a peaceful religion, and there are many muslims who live in the western world.	0.9191573160265354
how can you be sure that they are all terrorists if you can't find any evidence of terrorism in the actions of most of them?	i don't think that is true. suicide bombers are not limited to muslims. they can be any religious group, and the majority of them are peaceful.	0.934041461350258
i don't see how the koran would not have a place in the uk. the koran says to love your neighbor as yourself. it does not say to hate others because of their religion, as you seem to be doing.	the koran is a book of faith, and it has been used to teach us many things.	0.8730778537114899
i find it very difficult to believe that the quran is not honest and trustworthy. have you ever read it?	the koran is a book of faith, not slander.	0.657807143523286
islam is a peaceful religion. we should talk about it, not try to make people fear or abandon it.	islam is a peaceful religion, and it has been used to create jobs.	0.8512917493455743
the koran does not tolerate violence, peace is a part of the faith and for this it should be tolerated.	islam is not a death cult, it is merely 'a religion of peace'.	0.8768080473716603
muslims have lived in the west for centuries, and they have contributed greatly to our society. they are our brothers and sisters.	muslims are not incompatible with western society. they are just different from us in their beliefs and practices.	0.9446254920662902
why should we fear muslims? why should we be afraid of them? it is a myth that all muslims are incompatible with western society: they have lived with us for a very long time.	muslims are not incompatible with western society. they are just different from us in their beliefs and practices.	0.8533554723864988
the muslim people who have lived here for generations have been amazing and friendly. we can learn a lot from them.	muslims are not violent people. they are just trying to live their lives as normal citizens, and that is what makes them different from other people.	0.9073880693319677
muslims have the right to practice what they want, as long as they are not forcing others to live their way.	muslims are free to live and worship as they wish, in a country where freedom of religion is guaranteed.	0.8903334610228086
we are a country that is a mixture of different religions. you can be a muslim and a british person. what you need is not discrimination but love.	muslims are part of our society and have contributed so much to it. they are our brothers, sisters and friends.	0.8468575507602193
muslim-british people have contributed so much to our country. they are our brothers and sisters.	muslims are not the problem, they are just different from us in that they have different beliefs and practices.	0.9076771614613864
the vast majority of muslims are peaceful and tolerant law-abiding citizens, what you are saying has no foundation.	islam is not a totalitarian doctrine. it is based on the teachings of prophet muhammad and has been shown time after times to be a religion that promote freedom	0.8553755253953262
this is a generalisation. there is no evidence that black people are less healthy than other people, or that they have the characteristics you mentioned.	this is not true. i think it's important to remember that the majority of people in our society are good people, and they have contributed greatly to our country.	0.9074790234902714
i would be interested to see where you got the statement from. is it from your family, a close friend, a religious leader, or is it from a reputable academic or media source?	rape and child molestation are crimes committed by all people, regardless of their race.	0.710441187151767
slavery was banned in britain in 1833. today, people descending from those who were slaves feel at home in british society, and that's their right.	i don't think it is fair to discriminate against people of colour. they are all human beings with the same rights as anyone else.	0.7330654055629195
do you really think that someone's skin colour or nationality is a sign that they are scum, or inferior? it is just a little compassion that can lead you to better treatment in the world.	i don't see how you can treat people of colour as if they are scum.	0.8318136369437426
people of colour can exist here too. we just have different skin colours. and even if we all have different origins, this doesn't mean we shouldn't all be treated equally in society.	i don't think it would be a good idea to try and change the world by excluding people of colour.	0.905743537265219
all humans are born equal in the eyes of the law, regardless of race. what you are saying seems a little extreme.	i don't see how the rights of people from different races should be subordinated to those of whites.	0.8585304800110697
this is simply not true, but i'm guessing you're not a geneticist. have you tired joining a library?.	i don't think it is true that black people are inferior to us. they are just different from other people in many ways.	0.8388076368229093
"there are many different races, and it is not possible to consider someone ""inferior"" based on skin color."	i don't think it is true that black people are inferior to us. they are just different from other people in many ways.	0.8594073159109905
being human is also about having respect for others, and that means being kind and accepting everyone's differences. why should they be treated differently from you?	i don't see how being treated equally can be a good thing.	0.8184745942576186
the violence in schools is not the fault of black people. there are several authorities responsible for creating this situation; for example racist teachers, lack of education in general, and also the lack of proper policing and education policies that makes it easier for people to commit crimes in schools.	violence is not a race, it's an attitude.	0.7044931508188041
it is not true that blacks are genetically inferior to others. as statistics and studies show, black people are genetically similar to their non-black counterparts.	i don't think it is true that black people are genetically inferior. they are just like any other human beings, and have the same rights as anyone else.	0.9031043563377321
the u.s. is full of many different cultures and races, which i consider a lot more equal and human than what you propose.	the u.s is a country of people, not of race. we are all human being with rights and freedoms.	0.9271684857712762
we should understand that different skin colors are a part of the human condition. we have the right not to be friends with anyone but we must be just and take into account each person.	africans are human being and deserve respect. they are part of our society, just like us.	0.8843660067638893
"for all the countries in the world, there are not 'inferior citizens"" but just free people. to claim that afro-americans are born to be the ""oppressed"" is just wrong."	afro-americans are not born to be oppressed. they are born to have the same rights as any other citizen.	0.9080424348011399
what you are saying is that white people do not find it strange to treat black people like this, when this is not acceptable. people of color are our brothers and sisters.	i don't see how being racist against someone of another race would be natural.	0.880650989869652
are you calling for the total extermination of the black population? do you know that what you suggest is completely illegal and hate crime?	i don't see how extermination is the solution.	0.8305049437588966
the majority of people of color who live here are contributing members of our society. why shouldn't they live here?	i don't see how leaving our country would help anyone.	0.6507728735642051
i'm not sure what you're talking about. what are you saying? what evidence do you have that black people have bodies that are incompatible with being human?	the idea that blacks are subhuman is a myth.	0.6890015464540293
do you know how many african americans served in the military during the vietnam war? the united states comprises many races, and they should all be respected.	the problem is not with black people, but rather with racism.	0.8475742540541104
i'm not sure what you mean by obedient and subservient. how many people of colour do you personally know?	the fact that black people are different from other people is not a sign of inferiority. they are human beings with rights and freedoms, just like any other person.	0.775808445438867
it's very strange that you don't think that your words are hurtful to others. if you did, you would see that racism is still very much a problem in our society.	if you really cared about our country, then you would know that we are a diverse society.	0.9568923861317957
that is the most important thing: the choice to have a relationship with someone is freely to take for each person, regardless of gender.	i think it is important to remember that women are human beings with rights. they have the right of choice and should be respected for who they want to be with.	0.9101266703124082
don't you agree that feminism is necessary for the progress of humanity? i don't think you can be so critical at a time when so many people are suffering from toxic masculinity.	feminism is about equality, not oppression.	0.7823166513180363
if we are interested in human rights, we have a lot in common with feminism, as i see it. for example, we all have a duty to care for our fellow humans, regardless of gender.	feminism is about equality, not disrespect.	0.7906279570166083
women are human beings with the potential to be rational and thoughtful as anyone else. this is why i support women's right to choose their own happiness.	women are human beings with the same rights as men.	0.8619033841366174
women must have the same rights as men, and their gender doesn't mean they should not be respected.	women are human beings with rights. they have the right to be treated as such, and this is what makes them human being irrational	0.9324616737180077
upholding women's right to vote has improved the lot of all.	women have the right to vote, and they should be allowed to do so.	0.8080520858426117
democracy is valid for all. people must be allowed to make their own decisions, regardless of their gender.	women have the right to vote, and they should be allowed to do so.	0.8878943733465059
women do have equal opportunities in this country under the law but the question is: how do we really treat them?	women are capable of doing anything. they are human beings with rights and responsibilities, just like any other human being.	0.8339317387122905
